V,E0,E1,E2,E3,E4
0.0,-2.0,-1.0,0.0,1.0,2.0
0.06666666666666667,-2.0132891827388666,-1.019803902718557,4.336808689942018e-19,1.019803902718557,2.0132891827388666
0.13333333333333333,-2.052640575778754,-1.077032961426901,6.288372600415926e-18,1.077032961426901,2.052640575778754
0.2,-2.116601048851672,-1.1661903789690602,-2.168404344971009e-17,1.1661903789690602,2.116601048851672
0.26666666666666666,-2.2030282189144406,-1.2806248474865698,-5.117434254131581e-17,1.2806248474865698,2.203028218914441
0.3333333333333333,-2.309401076758503,-1.4142135623730951,3.9898639947466563e-17,1.4142135623730951,2.3094010767585025
0.4,-2.4331050121192876,-1.562049935181331,4.7704895589362195e-17,1.562049935181331,2.433105012119288
0.4666666666666667,-2.5716402029314547,-1.7204650534085253,1.0928757898653885e-16,1.7204650534085253,2.571640202931455
0.5333333333333333,-2.7227437142216178,-1.8867962264113207,-9.8879238130678e-17,1.8867962264113207,2.7227437142216178
0.6,-2.884441020371191,-2.0591260281974,-4.336808689942018e-17,2.0591260281974,2.884441020371191
0.6666666666666666,-3.0550504633038926,-2.23606797749979,3.3306690738754696e-16,2.23606797749979,3.0550504633038926
0.7333333333333333,-3.233161507461904,-2.416609194718914,4.198030811863873e-16,2.416609194718914,3.2331615074619036
0.8,-3.417601498127013,-2.6,5.447031714567174e-16,2.6,3.4176014981270115
0.8666666666666667,-3.6073998022583154,-2.785677655436824,-1.4311468676808659e-16,2.785677655436824,3.607399802258315
0.9333333333333333,-3.801753981168867,-2.9732137494637008,-2.2724877535296173e-16,2.9732137494637008,3.801753981168867
1.0,-3.9999999999999996,-3.1622776601683795,-1.1622647289044608e-16,3.1622776601683795,4.0
1.0666666666666667,-4.2015870017569945,-3.3526109228480423,-1.3877787807814457e-17,3.3526109228480423,4.2015870017569945
1.1333333333333333,-4.406056437828881,-3.54400902933387,2.5847379792054426e-16,3.54400902933387,4.406056437828881
1.2,-4.613025037868318,-3.7363083384538807,5.724587470723463e-17,3.7363083384538807,4.613025037868319
1.2666666666666666,-4.822171018673367,-3.9293765408776995,6.609296443471635e-16,3.9293765408776995,4.822171018673366
1.3333333333333333,-5.033222956847166,-4.123105625617661,-2.7755575615628914e-16,4.123105625617661,5.033222956847166
1.4,-5.2459508194416,-4.31740662898458,5.204170427930421e-17,4.31740662898458,5.2459508194416
1.4666666666666666,-5.460158727851539,-4.51220566907139,7.840950111415168e-16,4.51220566907139,5.460158727851537
1.5333333333333332,-5.675679107678071,-4.707440918375927,-1.7694179454963432e-16,4.707440918375927,5.6756791076780715
1.6,-5.892367945062494,-4.903060268852506,1.3877787807814457e-16,4.903060268852506,5.892367945062494
1.6666666666666667,-6.110100926607788,-5.099019513592785,-2.1510571102112408e-16,5.099019513592785,6.110100926607788
1.7333333333333334,-6.328770286029769,-5.2952809179494915,-1.6167622796103842e-15,5.2952809179494915,6.328770286029772
1.8,-6.54828221749796,-5.491812087098393,-1.1726730697603216e-15,5.491812087098393,6.5482822174979605
1.8666666666666667,-6.768554744798428,-5.688585061331157,2.220446049250313e-16,5.688585061331157,6.768554744798428
1.9333333333333333,-6.989515958443282,-5.885575587824865,4.440892098500626e-16,5.885575587824865,6.989515958443283
2.0,-7.211102550927979,-6.0827625302982185,-2.393918396847994e-16,6.0827625302982185,7.211102550927979
