pauli,c_epsilon,c_V,c_W,c_padding,coefficient_expression
II,0.0,0.0,0.0,0.25,0.25 Delta
IZ,0.0,0.0,0.0,-0.25,-0.25 Delta
XI,0.0,-0.5,0.0,0.0,-0.5 V
XZ,0.0,-0.5,0.0,0.0,-0.5 V
ZI,-0.5,0.0,0.0,-0.25,-0.5 epsilon - 0.25 Delta
ZZ,-0.5,0.0,0.0,0.25,-0.5 epsilon + 0.25 Delta
