V,E0_exact,E0_vqe,abs_error,success
0.0,-2.0,-2.0,0.0,True
0.06666666666666667,-2.0132891827388666,-2.013289182738867,4.440892098500626e-16,True
0.13333333333333333,-2.052640575778754,-2.0526405757787543,4.440892098500626e-16,True
0.2,-2.116601048851672,-2.1166010488516727,4.440892098500626e-16,True
0.26666666666666666,-2.2030282189144406,-2.203028218914441,4.440892098500626e-16,True
0.3333333333333333,-2.309401076758503,-2.3094010767585034,4.440892098500626e-16,True
0.4,-2.4331050121192876,-2.4331050121192885,8.881784197001252e-16,True
0.4666666666666667,-2.5716402029314547,-2.571640202931455,4.440892098500626e-16,True
0.5333333333333333,-2.7227437142216178,-2.722743714221618,4.440892098500626e-16,True
0.6,-2.884441020371191,-2.884441020371192,8.881784197001252e-16,True
0.6666666666666666,-3.0550504633038926,-3.0550504633038935,8.881784197001252e-16,True
0.7333333333333333,-3.233161507461904,-3.2331615074619044,4.440892098500626e-16,True
0.8,-3.417601498127013,-3.417601498127013,0.0,True
0.8666666666666667,-3.6073998022583154,-3.607399802258316,4.440892098500626e-16,True
0.9333333333333333,-3.801753981168867,-3.801753981168868,8.881784197001252e-16,True
1.0,-3.9999999999999996,-4.000000000000001,1.3322676295501878e-15,True
1.0666666666666667,-4.2015870017569945,-4.201587001756995,8.881784197001252e-16,True
1.1333333333333333,-4.406056437828881,-4.406056437828882,8.881784197001252e-16,True
1.2,-4.613025037868318,-4.613025037868319,8.881784197001252e-16,True
1.2666666666666666,-4.822171018673367,-4.822171018673367,0.0,True
1.3333333333333333,-5.033222956847166,-5.033222956847167,8.881784197001252e-16,True
1.4,-5.2459508194416,-5.245950819441601,1.7763568394002505e-15,True
1.4666666666666666,-5.460158727851539,-5.460158727851539,0.0,True
1.5333333333333332,-5.675679107678071,-5.67567910767807,8.881784197001252e-16,True
1.6,-5.892367945062494,-5.892367945062495,8.881784197001252e-16,True
1.6666666666666667,-6.110100926607788,-6.110100926607788,0.0,True
1.7333333333333334,-6.328770286029769,-6.32877028602977,8.881784197001252e-16,True
1.8,-6.54828221749796,-6.548282217497961,1.7763568394002505e-15,True
1.8666666666666667,-6.768554744798428,-6.76855474479843,1.7763568394002505e-15,True
1.9333333333333333,-6.989515958443282,-6.989515958443285,2.6645352591003757e-15,True
2.0,-7.211102550927979,-7.211102550927979,0.0,True
